Student_ID,OOP,DSA,DBMS,ASC,FP,SE,FLCD,OS,WEBDEV,PDP,Elective 1,Elective 2,Elective 3,Elective 1 Mark,Elective 2 Mark,Elective 3 Mark
SID20131143,44,74,80,44,95,61,54,90,92,57,NLP,CC,IOT,84,26,12
SID20131151,78,91,83,70,74,73,95,83,69,40,NLP,CS,ML,85,31,15
SID20131176,92,93,46,71,53,48,50,98,57,87,AR_VR,CS,ML,98,50,100
SID20131184,61,93,95,19,72,59,59,61,85,70,NLP,CS,IOT,58,22,21
SID20131189,96,72,89,49,77,45,40,97,96,57,AR_VR,CS,IOT,41,54,64
SID20131191,63,54,100,59,69,47,77,96,62,52,NLP,CC,IOT,56,98,57
SID20131208,97,70,43,59,56,90,64,43,51,92,AR_VR,CC,IOT,53,58,84
SID20131220,98,41,44,47,71,65,42,70,87,77,AR_VR,CC,IOT,86,100,90
SID20131231,64,77,97,62,100,54,52,96,66,56,NLP,CS,IOT,97,70,15
SID20131244,61,72,96,69,79,93,71,46,82,60,SVV,CC,IOT,89,49,19
SID20131246,42,60,91,57,41,96,86,88,41,47,SVV,CC,ML,80,68,42
SID20131265,47,68,46,86,66,90,86,75,44,87,AR_VR,CS,ML,65,100,36
SID20131278,86,73,87,61,77,89,93,50,94,80,AR_VR,CC,IOT,91,92,74
SID20131314,82,72,57,87,61,68,71,74,45,98,AR_VR,CS,IOT,100,39,93
SID20131331,98,56,53,77,91,71,89,84,68,62,NLP,CC,ML,69,77,15
SID20131364,89,69,23,58,65,60,63,70,57,67,SVV,CS,IOT,57,69,95
SID20131420,40,50,40,99,84,60,82,42,90,76,SVV,CS,ML,69,32,14
SID20131433,93,62,87,96,97,81,23,63,86,79,SVV,CC,ML,78,82,72
SID20131438,76,41,100,49,87,67,69,59,99,77,AR_VR,CS,IOT,95,24,38
SID20131443,60,41,41,57,71,48,50,58,45,70,SVV,CC,IOT,63,86,43
SID20131446,82,65,84,40,56,82,61,82,75,84,AR_VR,CS,ML,62,95,66
SID20131501,61,53,41,72,88,72,63,72,85,63,SVV,CS,IOT,81,58,100
SID20131506,80,76,69,57,66,48,76,52,81,85,SVV,CS,IOT,81,83,96
SID20131526,64,71,55,52,42,93,23,94,29,50,NLP,CC,ML,59,44,93
SID20131529,46,66,43,40,79,57,72,71,60,55,SVV,CS,ML,91,78,95
SID20131603,50,77,50,45,67,88,58,91,95,43,NLP,CS,ML,92,89,66
SID20131618,95,66,90,99,100,97,43,93,83,44,SVV,CS,IOT,93,66,58
SID20131675,86,83,90,66,63,56,47,55,83,65,SVV,CC,ML,70,81,82
SID20131703,56,73,83,90,97,47,62,58,90,67,AR_VR,CS,ML,100,40,14
SID20131753,80,63,97,41,82,62,70,58,94,87,AR_VR,CS,IOT,58,40,93
SID20131754,82,84,57,41,98,59,44,83,76,83,AR_VR,CS,IOT,85,66,74
SID20131764,47,98,79,42,44,68,48,68,43,74,NLP,CC,ML,58,10,91
SID20131804,81,54,71,70,78,74,98,94,42,80,AR_VR,CC,IOT,85,83,15
SID20131817,57,58,97,50,78,58,73,89,78,56,AR_VR,CS,ML,71,80,85
SID20131823,97,90,56,87,87,96,47,85,42,67,AR_VR,CC,ML,56,43,31
SID20131826,47,96,77,56,68,74,66,94,74,56,AR_VR,CC,ML,40,49,58
SID20131830,90,46,93,80,83,73,51,83,42,84,AR_VR,CS,IOT,75,62,31
SID20131834,64,99,95,82,76,59,55,74,98,81,NLP,CC,ML,92,12,36
SID20131862,91,79,99,96,85,92,76,61,89,92,SVV,CS,IOT,92,46,63
SID20131872,83,69,83,97,77,74,82,60,72,79,SVV,CC,ML,59,30,82
SID20131874,53,60,79,99,45,90,48,45,42,86,AR_VR,CS,IOT,88,71,77
SID20131889,73,52,76,55,48,82,69,60,80,45,NLP,CC,ML,81,72,22
SID20131931,90,83,96,44,48,83,80,85,98,97,NLP,CS,ML,84,33,42
SID20131936,93,53,83,63,69,93,41,42,76,45,AR_VR,CC,IOT,57,76,96
SID20131943,99,40,59,55,83,88,48,52,93,67,AR_VR,CS,IOT,90,90,14
SID20131949,57,44,91,100,74,77,42,60,73,54,SVV,CC,ML,99,61,24
SID20131978,50,63,60,59,70,86,62,68,69,68,NLP,CC,ML,89,88,22
SID20131983,60,76,90,56,41,57,81,64,75,70,AR_VR,CC,IOT,67,94,21
SID20131998,54,85,99,40,58,46,50.5,27,46,50,SVV,CS,ML,89,60,65
SID20132012,46,98,96,73,53,74,84,78,76,57,SVV,CC,IOT,40,94,48
SID20132013,52,79,79,59,57,73,67,69,46,43,AR_VR,CS,ML,59,62,94
SID20132032,41,81,77,26,92,64,48,80,79,84,SVV,CC,ML,82,23,90
SID20132137,60,93,41,71,86,64,83,86,72,57,SVV,CC,IOT,44,65,45
SID20132171,87,85,40,47,53,64,71,95,55,91,AR_VR,CC,IOT,42,83,72
SID20132211,59,42,71,72,64,54,81,97,83,82,NLP,CC,IOT,44,91,39
SID20132217,52,47,58,69,40,72,62,81,88,40,NLP,CC,IOT,63,23,49
SID20132222,90,68,40,74,87,96,71,71,61,54,NLP,CS,ML,42,64,82
SID20132245,50,47,42,92,79,76,93,89,78,91,NLP,CC,IOT,96,96,78
SID20132258,52,42,57,56,46,77,42,95,48,74,SVV,CS,IOT,49,85,32
SID20132300,96,85,92,57,42,97,92,76,74,41,AR_VR,CS,ML,73,31,85
SID20132356,85,65,55,85,98,57,98,91,100,58,AR_VR,CS,ML,97,18,80
SID20132360,54,94,69,74,58,78,41,70,54,55,SVV,CS,IOT,91,86,64
SID20132382,45,61,62,91,94,91,52,97,69,67,AR_VR,CS,IOT,60,48,74
SID20132388,70,82,75,93,81,75,64,55,60,84,SVV,CS,ML,75,97,31
SID20132422,49,51,62,87,50,97,47,40,45,71,SVV,CC,IOT,51,65,36
SID20132424,63,75,53,75,86,66,61,80,98,72,NLP,CS,IOT,50,97,55
SID20132511,87,90,48,86,96,91,92,58,100,70,NLP,CC,IOT,91,66,43
SID20132530,89,93,49,82,76,62,80,61,50,96,SVV,CS,IOT,64,54,23
SID20132536,42,56,59,52,64,57,27,57,94,55,NLP,CC,IOT,91,40,60
SID20132572,54,42,53,44,84,45,64,46,88,40,SVV,CS,IOT,77,26,15
SID20132579,41,46,45,29,77,92,71,72,89,86,AR_VR,CS,ML,45,92,60
SID20132627,69,88,80,87,82,65,89,62,68,98,AR_VR,CC,IOT,53,14,30
SID20132654,79,45,97,77,92,78,58,78,82,84,SVV,CS,ML,60,65,77
SID20132672,82,85,72,97,51,41,61,93,94,50,SVV,CC,ML,97,75,45
SID20132704,69,55,42,60,82,70,57,72,95,52,NLP,CC,ML,74,67,51
SID20132710,100,85,43,82,40,51,59,60,68,51,NLP,CS,ML,97,59,67
SID20132735,66,52,86,64,55,45,87,82,76,52,AR_VR,CS,IOT,44,23,57
SID20132743,76,96,94,79,79,58,41,63,44,74,AR_VR,CS,IOT,71,67,18
SID20132744,57,49,78,64,96,91,68,62,53,97,SVV,CS,ML,78,100,25
SID20132766,82,99,70,41,74,56,83,64,46,63,NLP,CC,IOT,77,61,55
SID20132775,53,92,93,95,44,45,89,56,45,67,AR_VR,CS,ML,57,95,70
SID20132777,70,41,55,70,92,79,89,89,66,88,SVV,CS,IOT,81,21,64
SID20132816,81,92,80,57,94,91,72,53,78,84,NLP,CS,ML,90,93,81
SID20132830,86,99,98,99,93,97,72,81,55,57,SVV,CC,ML,63,45,56
SID20132838,98,54,66,71,41,49,77,68,84,24,SVV,CC,IOT,69,29,47
SID20132839,47,74,68,93,47,67,83,98,25,91,AR_VR,CS,IOT,97,26,65
SID20132856,71,44,59,69,84,93,57,91,26,97,SVV,CC,IOT,91,46,70
SID20132884,55,93,70,56,83,28,73,68,63,76,AR_VR,CC,ML,96,69,91
SID20132894,45,73,100,97,48,45,87,58,72,66,SVV,CC,ML,83,48,12
SID20132910,45,83,89,100,50,89,63,89,87,66,NLP,CS,IOT,41,69,92
SID20132913,53,61,100,90,89,76,74,41,80,62,AR_VR,CC,IOT,79,91,13
SID20132917,43,54,54,61,53,76,99,24,91,92,NLP,CC,ML,66,81,63
SID20132928,70,100,99,79,72,73,97,80,87,100,SVV,CS,ML,93,40,30
SID20132939,55,73,46,67,44,64,73,44,67,91,AR_VR,CS,IOT,60,66,52
SID20132952,48,100,64,100,41,64,56,44,74,76,SVV,CS,ML,68,44,32
SID20132992,84,95,48,98,60,75,68,43,90,82,SVV,CS,ML,84,26,87
SID20132995,79,98,61,80,95,66,61,98,72,50,SVV,CC,ML,70,87,69
SID20133005,72,75,91,76,61,46,74,52,78,51,SVV,CC,IOT,70,56,45
SID20133006,44,76,92,63,86,64,52,91,86,79,AR_VR,CS,ML,93,93,59
SID20133032,82,66,100,57,63,93,69,73,50,98,SVV,CC,ML,22,68,97
SID20133068,65,72,74,49,69,94,41,81,52,56,SVV,CC,IOT,54,24,47
SID20133084,48,63,89,85,58,75,71,96,99,41,AR_VR,CC,ML,46,36,39
SID20133095,78,50,45,63,86,73,56,83,53,71,AR_VR,CC,IOT,56,66,51
SID20133098,67,66,51,51,71,70,57,67,93,51,NLP,CC,ML,98,19,76
SID20133106,52,51,90,94,65,77,84,82,81,68,NLP,CC,IOT,54,47,61
SID20133111,92,96,91,73,80,63,79,57,84,75,NLP,CC,IOT,48,92,62
SID20133120,67,56,66,73,75,62,47,90,71,59,NLP,CS,IOT,41,58,56
SID20133121,45,89,82,47,77,76,46,41,44,93,NLP,CS,IOT,50,87,83
SID20133123,66,58,89,55,21,89,83,66,79,55,NLP,CC,ML,59,89,38
SID20133184,53,73,69,45,88,43,87,42,60,68,SVV,CC,ML,52,58,95
SID20133204,41,54,62,74,67,66,81,95,79,71,AR_VR,CS,ML,48,94,71
SID20133211,57,91,99,45,84,84,53,40,56,74,SVV,CS,ML,44,92,85
SID20133222,66,43,83,66,73,100,44,93,87,50,AR_VR,CC,IOT,98,60,50
SID20133223,58,93,48,59,68,52,96,43,65,42,SVV,CS,IOT,70,26,94
SID20133226,47,49,86,62,58,89,87,82,51,95,AR_VR,CS,ML,65,57,27
SID20133235,74,97,68,76,94,76,92,67,72,65,NLP,CC,ML,63,83,33
SID20133262,98,69,53,55,42,70,71,66,93,96,AR_VR,CS,ML,68,86,72
SID20133276,94,41,96,78,68,93,53,75,59,61,AR_VR,CC,ML,91,20,17
SID20133282,100,100,83,47,84,56,97,88,59,67,NLP,CS,IOT,99,37,12
SID20133286,100,67,48,62,54,51,95,73,72,42,AR_VR,CS,ML,92,12,96
SID20133308,73,72,45,89,55,41,91,78,60,52,NLP,CC,IOT,53,90,26
SID20133311,65,81,40,63,51,40,90,79,75,66,SVV,CC,IOT,73,57,77
SID20133314,80,50,90,46,52,63,95,90,70,77,AR_VR,CS,IOT,77,48,94
SID20133325,44,65,68,46,82,95,83,58,90,60,NLP,CS,ML,54,96,85
SID20133342,66,83,79,56,60,43,61,86,92,96,NLP,CC,ML,72,33,31
SID20133350,58,44,83,54,64,51,27,82,20,50,AR_VR,CC,IOT,60,16,98
SID20133376,45,98,58,52,57,75,46,96,69,74,AR_VR,CC,IOT,47,33,14
SID20133385,53,65,42,80,40,48,80,85,99,58,SVV,CC,IOT,93,55,79
SID20133388,47,57,44,67,58,66,99,60,51,57,SVV,CS,IOT,60,24,30
SID20133390,84,49,52,65,80,59,65,53,93,40,NLP,CS,IOT,57,30,88
SID20133413,93,75,93,68,86,87,79,87,23,98,NLP,CS,ML,51,96,34
SID20133435,84,98,76,73,74,87,65.8,45,49,72,SVV,CC,ML,75,54,45
SID20133442,74,91,65,83,92,100,53,53,60,85,NLP,CS,IOT,97,84,14
SID20133455,47,42,49,57,83,64,58,58,48,47,AR_VR,CC,ML,70,82,19
SID20133467,69,93,99,90,49,99,63,53,56,83,NLP,CC,ML,46,97,72
SID20133468,95,77,50,47,84,75,42,64,81,44,NLP,CC,ML,96,71,28
SID20133486,53,88,80,44,27,95,70,47,89,75,AR_VR,CS,ML,77,14,88
SID20133497,62,78,75,54,90,82,45,19,85,43,NLP,CC,IOT,41,84,78
SID20133506,85,60,76,72,64,40,40,90,76,54,AR_VR,CC,IOT,80,10,80
SID20133507,72,71,50,70,54,85,42,91,92,71,NLP,CS,IOT,81,83,55
SID20133520,53,49,42,96,76,70,90,42,42,53,AR_VR,CC,IOT,79,67,10
SID20133527,44,71,54,50,92,98,67,50,65,59,NLP,CS,IOT,61,68,23
SID20133542,43,45,84,43,79,94,76,87,56,45,SVV,CC,IOT,57,13,44
SID20133560,26,75,74,44,89,78,42,40,86,44,AR_VR,CS,ML,90,53,53
SID20133561,40,88,78,76,62,45,72,97,67,47,SVV,CS,ML,44,19,55
SID20133618,40,81,58,83,41,59,40,99,73,63,NLP,CC,ML,70,67,29
SID20133628,43,54,98,63,76,44,85,94,47,64,AR_VR,CC,IOT,59,47,15
SID20133658,50,95,82,47,60,98,98,79,87,78,SVV,CS,IOT,63,24,93
SID20133690,77,58,42,64,61,40,98,78,58,41,AR_VR,CS,IOT,75,39,19
SID20133729,100,70,73,99,87,70,43,63,85,51,NLP,CS,ML,77,50,71
SID20133731,96,85,60,73,44,82,95,94,81,50,NLP,CS,IOT,94,57,42
SID20133750,89,46,62,58,92,82,90,41,76,56,SVV,CS,ML,48,53,86
SID20133751,68,88,96,98,59,91,90,71,53,86,SVV,CC,IOT,88,17,15
SID20133797,66,75,71,64,97,92,45,40,82,92,SVV,CS,IOT,49,47,31
SID20133807,64,100,73,46,92,45,64,55,44,73,SVV,CC,IOT,49,93,50
SID20133809,91,43,76,53,90,42,61,44,49,79,SVV,CS,IOT,87,62,63
SID20133812,52,89,78,55,89,68,92,71,59,48,SVV,CS,ML,58,100,15
SID20133819,60,41,97,52,61,50,95,96,87,46,SVV,CC,IOT,78,79,41
SID20133822,58,51,46,94,78,72,94,44,45,50,NLP,CS,IOT,91,80,40
SID20133823,91,88,70,43,93,85,70,58,52,40,AR_VR,CC,ML,63,43,43
SID20133872,55,60,82,58,79,84,81,49,78,91,NLP,CS,IOT,99,67,60
SID20133920,85,97,81,52,61,26,45,44,61,69,NLP,CC,ML,68,68,87
SID20133955,52,54,71,81,87,59,55,23,57,90,AR_VR,CS,ML,100,36,21
SID20134007,94,71,78,71,75,45,64,86,49,57,NLP,CC,ML,94,27,29
SID20134016,47,93,52,91,94,61,99,61,56,97,NLP,CC,IOT,93,63,87
SID20134062,66,49,89,40,95,49,61,98,66,69,NLP,CS,ML,62,50,57
SID20134063,76,42,45,86,44,91,57.7,85,57,51,SVV,CS,ML,72,28,99
SID20134138,59,61,40,57,44,99,64,80,89,82,AR_VR,CC,ML,81,57,80
SID20134143,59,56,81,97,54,84,80,98,57,79,NLP,CC,IOT,61,13,26
SID20134156,95,96,75,56,77,64,98,59,80,54,NLP,CS,IOT,44,90,52
SID20134161,64,49,76,92,94,66,95,64,78,88,SVV,CS,ML,63,69,91
SID20134176,89,64,77,57,46,89,89,57,55,49,NLP,CS,ML,83,75,15
SID20134178,99,59,81,91,60,93,98,21,60,72,NLP,CS,IOT,61,55,47
