StudentID,Algebra,OOP,OS,WebProgramming,CloudComputing,ComputerScienceHistory
NOG99YFJ2GE,9,9,4,7,10,4
QCP57FMZ1OI,5,0,3,9,1,7
JOG87XGD5KL,2,5,6,3,1,0
XIA06RGH4MT,9,5,2,1,4,8
YSR51MEJ1XP,3,3,2,3,5,5
HOY50KEL4NS,1,3,4,10,4,4
PIP77BDS6RG,0,8,4,8,4,6
UUP73XPB3HG,4,0,4,5,2,8
ATX06CCP9SF,7,2,1,4,4,9
WWQ61FHG0NC,10,1,3,5,8,4
JPR30IRN4UA,0,9,2,4,7,10
XZX67FHV4OU,5,6,2,2,4,1
VYD06BGM5XH,9,4,0,7,9,7
FRI98DWK6RX,10,3,7,8,1,9
LBG04DQJ5RH,2,7,6,6,0,10
XWQ40XXR2HT,9,1,7,3,8,4
GAC51SOU1KP,8,5,2,2,2,1
RJU41AST7JJ,5,4,5,5,4,10
PIR24FBY1TX,9,2,8,3,3,5
TAR74NZQ9HK,2,3,5,1,6,0
INS51RIO1WL,2,9,2,1,7,2
IZP15FKM0QG,6,7,10,0,4,6
XDF82HTD1MX,8,9,5,0,4,10
XUU10DKV1HX,8,1,6,5,3,2
NXJ51NVD0JX,4,7,4,6,7,9
HZK72OHB7DG,4,6,6,6,1,10
PWN28KGJ7CT,9,8,3,0,2,6
DIS15ATI1OE,4,4,10,6,1,9
EMY55BIE7BG,7,0,8,3,7,5
DVD07GHM7PM,0,0,3,9,0,0
KJP65VKP3FS,4,5,6,8,10,2
HTJ40EES4MV,4,10,5,2,10,5
FII37DFD5WF,0,3,9,4,7,5
YID75WTN8XY,1,0,2,8,9,6
FTM74SIE3YF,2,7,6,5,5,10
MTA75ALB3FK,7,8,4,1,1,6
JVA18VYJ4TJ,3,5,7,4,9,8
NJB11UCC6GA,10,7,1,2,1,1
NHQ48ZHM5TL,5,1,8,3,9,8
FQH83MOV5WB,10,5,4,6,8,6
BKX63JZM5BJ,8,6,9,5,3,0
HYL21LOR1OP,4,4,5,2,2,9
WAS57GBD5LX,8,0,9,6,3,7
CVW57BRR8LE,2,9,9,3,5,3
NLQ64TNB8XC,6,0,4,1,4,5
VCR86NXJ4MA,10,4,6,10,0,5
LRN80GIW7XJ,5,8,5,7,6,3
XGL96YLN1LV,5,4,7,9,9,3
PMO61LPF8ZX,2,5,0,2,2,2
LHH65TAQ4DV,6,4,7,4,9,4
UJY15FXF7TS,4,1,1,2,2,8
VRD42KIB8ZD,8,6,3,5,8,8
NZT92SDS8DH,7,7,3,4,5,4
CQX45CKP1LH,7,4,3,6,3,3
KNO42KSP0NT,5,9,3,5,5,5
WYT56KUJ6CW,8,4,4,7,1,10
MVI36MEY1TG,8,2,1,7,8,5
VPT72RHP4RP,8,4,5,6,3,6
KDD66SOQ3TI,5,6,10,7,2,2
LBH42VDK2XH,8,4,8,2,4,8
RIR78LIL6IC,10,2,4,10,3,6
SYJ48SQT7PH,6,4,6,6,4,4
WIA54SEK6FW,1,3,7,9,9,7
REI83KIO8XD,6,2,3,1,2,4
IKL47EOE7VW,6,9,6,3,9,5
LYR33ADC7HV,0,9,7,10,4,0
NPX63FBE4QH,3,6,3,8,3,8
JMW59TQK4IM,2,4,1,1,2,6
VTI83HAT8OE,2,6,1,7,8,7
QOF86BLR3HK,9,5,8,0,0,1
NCC43LSJ3GE,3,5,7,8,5,4
QCQ83STA4VP,10,2,8,3,6,8
KGH64QHO3NI,6,3,9,7,1,5
EIK71XIS3JE,4,3,3,4,5,7
XRO03NRN8LP,4,5,1,9,10,9
YHW69RQW4SF,4,8,7,5,6,5
JGB10CDS5HM,2,7,7,9,10,1
YRZ18PVK3YM,1,3,2,1,2,0
KMC41VXE3ME,6,7,1,9,10,7
RMR92URT4MW,9,7,10,7,9,0
JGO26TQT1BQ,6,3,2,6,9,5
HVT13MHJ8NT,7,8,1,3,8,4
GQL24KFJ6TA,7,2,9,8,1,9
ILW86EDA4EV,1,5,10,1,2,7
MZM52YDF4HH,6,3,1,3,9,3
IRY33OHH0LC,8,5,2,5,0,2
NFQ08WKR6NF,7,3,9,4,2,7
NCO44LSU8AJ,2,2,4,5,8,3
BQW87YNR6ZA,2,5,4,3,9,0
LXC57XHB5SG,1,1,3,9,5,0
XFQ83UOL2NJ,2,9,0,3,6,8
UDU69IPW1PF,3,9,3,5,4,2
EGI72YVF3GN,9,4,2,4,1,1
ZYQ69PJL4NZ,9,9,8,6,3,7
QZB27JKX3GK,8,2,3,0,7,2
WTG47LJP9YB,1,4,6,2,9,3
GQE38HGP9TW,10,7,4,9,0,2
PWA31QZG1CO,9,4,5,1,10,3
NHL73DBC0KX,7,4,7,7,4,6
BPK82WPJ1XS,8,5,1,4,6,8
BNM55CGM3JX,3,5,0,2,6,7
HJJ39VTE1UK,5,7,8,8,2,2
WVI48MBS6OV,5,2,2,7,5,10
UNR33XHO4CE,6,6,4,3,6,10
RNF34CVL9CW,2,9,8,9,2,4
BWT76MXO2DS,8,4,0,4,7,1
HGZ33YQO3WU,4,5,10,2,8,3
ECG18JXW2LZ,1,6,1,2,6,9
DUM71FCJ7MW,7,5,4,4,9,6
SFX57AHR6JV,7,8,2,2,6,2
UKN51BDE2FP,8,5,2,5,4,0
IQE47JED4XG,0,5,5,1,3,5
GEP63OMR3FH,5,0,3,8,4,9
JYP37RCI6WX,6,0,3,5,5,9
CQZ41XOT2LJ,3,6,9,1,1,5
BND25TGK8QQ,8,9,2,2,8,1
OQW68BFJ8OG,4,8,6,10,5,1
GJK63HIN5UG,1,1,4,9,10,5
UVE21GPE1VI,6,6,1,8,2,10
EAJ18LOB4FU,6,5,1,10,3,5
JLY45KUV4OK,1,7,5,9,6,8
YQZ41NPG8LC,9,9,2,5,10,2
LPX65RJS8GO,1,1,8,4,8,3
RLO46OBV1JF,6,3,7,9,8,2
AWO84FEQ6RU,4,7,7,1,8,7
OCN85YYA3HW,0,5,4,10,8,9
QNE43LNM8QW,1,5,4,3,8,5
XKR76SIS3BS,8,3,10,7,4,4
JIV77LKV2OJ,2,6,10,7,8,7
CZX84UYQ6TK,8,6,3,4,0,7
PHI35LLV2XV,2,5,7,10,3,6
LVJ12NKB3XX,7,4,9,9,5,3
VIO57YCU6AF,4,2,5,9,1,2
IVD07UND5CP,0,7,0,2,4,1
ELU96VQF8VH,2,2,5,5,0,0
QPC29ODY8IK,3,4,8,7,9,7
LDI35UNP6IQ,9,4,7,2,2,1
PNM18EWS6UJ,7,9,8,3,9,8
RGS34CHK2TE,3,3,1,10,7,3
QHV21SHG1YH,3,0,8,1,2,6
YBP43TLX6IL,4,4,7,5,6,1
XVP17QXK4LD,6,9,2,4,3,3
RZB84XFH0MJ,7,2,5,0,4,7
KEP66OWS7OO,10,5,3,4,5,4
KFE65YZQ8BB,9,7,5,1,3,1
QIU22REZ1DP,4,3,9,3,5,7
HXY47GYD7UO,1,8,5,5,9,6
NXY72YVF6GK,1,5,8,5,5,6
ALC13EEA9WX,6,5,10,2,7,8
BPL15IOK8OG,2,1,3,1,4,5
FJF15SKR2PN,2,8,10,4,6,1
CBX74CUK2HN,6,1,9,3,7,6
